COUNTS (London Underground) ― station annualised entries and exits,,,,,,
,,,,,,
,,,,,,
Counts by Station,,,,,,
,2015,2016,2017,2018,2019,2020
,Annualised,Annualised,Annualised,Annualised,Annualised,Annualised
Station,en / ex,en / ex,en / ex,en / ex,en/ex,en/ex
Swiss Cottage,"7,710,830","7,578,603","7,134,144","6,782,931","7,130,168","2,891,037"
Temple,"8,595,799","8,223,970","8,287,848","8,508,504","8,743,279","1,323,354"
Theydon Bois,"854,702","850,065","876,807","856,822","896,336","493,721"
Tooting Bec,"7,933,544","7,922,887","7,414,443","7,288,031","7,670,661","3,509,976"
Tooting Broadway,"15,737,978","15,922,071","14,880,816","14,714,185","15,427,848","8,102,118"
Tottenham Court Road,"16,249,800","39,346,254","37,943,021","37,714,610","41,988,765","6,045,302"
Tottenham Hale LU,"11,954,313","13,213,806","11,509,815","12,517,878","14,026,843","7,264,852"
Totteridge & Whetstone,"2,334,480","2,232,086","2,339,018","2,326,904","2,523,102","1,030,907"
Tower Hill,"22,176,713","21,834,402","19,263,102","21,040,445","20,586,761","4,116,750"
Tufnell Park,0,"3,707,186","3,770,988","3,839,285","4,051,401","1,360,667"
Turnham Green,"6,445,923","5,650,263","5,659,412","5,640,453","5,839,620","2,563,212"
Turnpike Lane,"10,790,301","10,857,089","9,837,947","9,639,963","10,603,832","5,636,483"
Upminster,"5,140,645","5,339,344","5,099,618","4,144,160","4,764,016","2,440,980"
Upminster Bridge,"1,146,772","1,159,376","1,061,940","1,091,151","1,107,953","786,733"
Upney,"2,684,747","2,719,998","2,485,877","2,490,534","2,546,936","1,867,666"
Upton Park,"11,413,623","10,141,620","8,807,572","9,315,891","9,708,180","6,677,841"
Uxbridge,"8,341,531","8,452,417","7,725,408","7,563,432","7,992,197","4,034,024"
Vauxhall LU,"26,834,959","32,234,468","28,323,991","29,399,629","32,303,635","15,463,373"
Victoria LU,"82,885,560","83,501,204","72,764,957","80,201,591","85,468,928","22,954,962"
Walthamstow Central,"18,333,582","22,766,326","8,799,444","16,517,816","18,918,347","10,443,276"
Wanstead,"2,903,560","2,960,642","2,715,096","2,599,174","2,771,619","1,137,200"
Warren Street,"19,917,362","20,346,625","18,605,072","18,407,718","18,245,765","7,744,299"
Warwick Avenue,"4,501,822","4,506,260","3,918,130","3,768,157","3,999,622","1,682,785"
